Trong con người cái gì cũng cần phải đẹp, cả nét mặt, quần áo lẫn tâm hồn và tư tưởng.|M. Smuevich
Tôi bước chân vào thư viện và khép cửa lại. Như thế là tôi đã tách khỏi tính tham lam, lòng tự ái, tệ say rượu và sự lười biếng cùng tất cả những thói hư tật xấu do cái dốt nát, sự vô công rỗi nghề và cảnh sầu tư sinh ra. Tôi đắm mình vào cái vĩnh hằng giữa những tác giả tuyệt diệu với một niềm tự hào, với một cảm giác thỏa mãn đến mức cảm thấy thương hại tất cả các ông quan lớn sang trọng và giàu có nhưng không được hưởng niềm hạnh phúc này.|D. Henziut
Thư viện là kho tàng chứa tất cả của cải tinh thần của loài người.|G.V.Leibniz
Ai đọc sách mà không biết được nhiều hơn những điều viết trong sách, người đó mới sử dụng sách có một nửa. Sách làm trí tuệ con người sâu sắc hơn và sáng sủa hơn.|G.Létxinh
Đối với một thanh niên, chúng ta không thể tạo ân huệ nào lớn hơn là cho phép anh ta được đọc sách không mất tiền ở một thư viện công cộng tốt.|Braitơn
Người xưa đã đem tâm trí đúc chuốt thành lời hay ý đẹp để chắp lông chắp cánh cho văn chương, ta mà lại coi thường được sao.|Cao Bá Quát
Để viết được một tác phẩm chân thực thì bạn cần nếm trải mọi sự khổ đau. Và không phải chỉlà đau khổ của riêng mình thôi đâu.|Gióocgiơ Xăng
Nhiệm vụ quan trọng nhất của nền văn minh là dạy cho con người biết tư duy.|T. Edison
Thì giờ người ta dùng để bàn chuyện phiếm, đủ để đọc được một tác phẩm mỗi ngày.|Fragnet
Trà mai đêm nguyệt dậy xem bóng Phiến sách ngày xuân ngồi chấm câu.|Nguyễn Trãi
Đọc sách ít thì khảo sát nghĩa lý không được tinh.|Trang Tử
Siêng xem sách và xem được nhiều sách là một việc đáng quý.|Hồ Chí Minh
Đối với những người không biết làm chủ đầu óc mình thì sách liệu có đưa lại lợi ích gì. Đưa sách cho họ có khác nào đưa chiếc gương cho người mù.|Châm ngôn Ấn Độ
Sáng trăng trải chiếu hai hàng Bên anh đọc sách, bên nàng quay tơ.|Ca dao Việt Nam
Nếu không có sách, chúng ta vẫn chỉ là những kẻ man rợ.|Henvétiuyt
Sách chỉ có sức sống tinh thần nếu nó hướng tới tương lai.|H.Bandắc
Sách chắp cánh cho con người.|Ph.Golatcôp
Với quyển sách là vũ khí tinh thần và vật chất sáng ngời trong tay, chúng ta chiến đấu cho tự do hạnh phúc của loài người.|R.Rôlăng
Một giọt mực có thể làm vạn người suy nghĩ. Một cuốn sách hay có thể thay đổi số phận biết bao người.|Lord Bryron
Với một số người, sách giúp cho cuộc sống đầy đặn, với một số người khác, sách chỉ để chất đầy các giá sách mà thôi.|Gumilepxki
Trước những cuốn sách, tất cả mọi thứ đều mờ nhạt đi.|A.Sêkhốp
Sách có cùng kẻ thù như con người: lửa, sự ẩm ướt, thú vật, thời gian và ngay chính nội dung của nó.|Pôn Valeri
Sống với những cuốn sách của tôi, tôi cảm thấy sung sướng hơn cảnhững ông vua trên thế giới này.|Bôcaxiô
Tất cả những gì tốt đẹp trong tôi, tôi đều chịu ơn sách. Khi nói đến sách, tôi không thể nào không cảm thấy mối cảm động sâu sắc và niềm vui mừng phấn khởi.|M.Gorki
Không phải lưỡi kiếm tôi đã chinh phục được thế giới, mà là với cái đầu chứa chất những gì tôi đã thu thập trong lúc đọc sách.|Napoléon I
Sách giúp cho ta làm việc tốt hơn, hiểu được con người trên những nẻo đường xa xôi nhất và tối tăm nhất của cuộc đời.|A. Upit
Chỉ có thái độ coi sách là báu vật tinh thần quan trọng nhất và vĩnh cửu mới tạo nên thái độ coi trường học là cái nôi của dân tộc.|Xukhômlinxki
Cần phải nhớ rằng đôi khi vì một cuốn sách lựa chọn không đạt mà một độc giả mới đọc sách không bao giờ thích đọc nữa. Vì vậy, cần đặc biệt lưu ý và cẩn thận với bước đi ban đầu của những người mới đọc sách.|M.V.Muratốp
Hiểu người cần hiểu những gì ẩn sau lời nói. Hiểu sách, phải hiểu những gì ẩn giữa các dòng chữ .|Hoài Lam
Như những đồng xu đồng hào làm nên tiền bạc, từng mẩu nhỏ đã đọc được làm nên kiến thức.|V.I.Dal
Nếu muốn giúp đỡ độc giả, người làm công tác thư viện phải biết đặc điểm riêng của từng cuốn sách mình giới thiệu và cả đặc điểm riêng của người mượn cuốn sách ấy. Nghĩa vụ của người làm công tác thư viện là phải biết sách và biết độc giả.|Krupxkaia
Phần lớn tri thức của loài người thuộc các lĩnh vực chỉ tồn tại trên giấy và trong sách, các trí nhớ bằng giấy của nhân loại. Bởi vậy chỉ có bộ sưu tập sách, tức là thư viện mới là niềm hy vọng duy nhất và là trí nhớ không hủy diệt nổi của loài người.|Sôpenhaoơ
Trong tất cả những ưu việt mà chúng ta được hưởng ở thế kỷ này có lẽ không có gì khiến chúng ta phải hàm ơn nhiều bằng việc sách báo có thể đến tay đông đảo quần chúng.|Lépbôc
Để giữ gìn những di sản quá khứ, trước hết cần quan tâm đến những di sản về văn tự. Tất cả những gì ghi trong sách vở sẽ lưu truyền mãi mãi. Sách là kho tàng tri thức. Chúng ta cần quan tâm tiếp thu chúng từ tổ tiên và trao lại một cách trọn vẹn, không có hại cho thế hệ mai sau.|Paolô Verzerio
Đọc được nhiều sách tốt nhưng nếu không đem áp dụng vào thực tiễn cuộc sống thì chẳng khác nào “cái hòm đựng sách”.|Hồ Chí Minh
Đọc muôn quyển sách, đi muôn dặm đường.|Thành ngữ
Tôi đã tập được thói quen trích từng đoạn trong những cuốn sách tôi đã đọc...đồng thời ghi chú thích riêng cho các đoạn trích.|Các Mác
Vấn đề đọc sách của trẻ em là một trong các vấn đề quan trọng. Đọc sách đóng vai trò lớn trong cuộc sống của các em. Những sách được đọc trong thời niên thiếu không những có thể lưu lại trong trí nhớ các em suốt đời mà còn có ảnh hưởng đến sự phát triển tương lai của các em nữa.|Krupxkaia
Sách làm cho con người trở thành chủ nhân vũ trụ.|P.Paplenko
Đọc sách mà cả tin ở sách thì chẳng bằng không có sách.|Mạnh Tử
Tu kỷ dẫn chi vi thiên lạc Trí thân vị tất độc thư đa - Sửa mình lấy thiện làm vui Lập thân đâu phải cứ ngồi đọc suông.|Nguyễn Trãi
Bạn hãy học cách tôn trọng sách. Bạn hãy nhớ rằng sách là do con người tạo ra, vì vậy bạn tôn trọng sách cũng chính là bạn tôn trọng con người.|G.H.Taxteven
Một cuốn sách tốt là một người bạn thân thiết không lừa gạt ai bao giờ.|G.D.Pixêrêcuôi
Sách...đưa tôi từ một phạm vi hứng thú đơn điệu, nhỏ nhặt, chật hẹp... tới sân khấu rộng lớn của lịch sử toàn cầu của văn học thế giới, lên vũ đài hoạt động của các anh hùng đấu tranh cho những lý tưởng cao cả: cái thiện, sựthật, công lý, hạnh phúc của nhân dân, Tổ quốc và nhân loại.|V.Vácterốp
Ai ghi chép người đó đọc hai lần.|Châm ngôn La Tinh
Nếu ví cuộc sống như một dòng sông chảy mãi thì có thể hiểu sách là những cốc nước được múc lên từ dòng sông ấy. Sách có thể là hay là dở. Cũng như thế, nước trong cốc có thể là trong là đục tùy tay người múc: Có thể chỉ là nước của một thời điểm nhất định; cũng có thể là nước tinh khiết mà mỗi giọt của nó chứa đựng cả bầu trời.|Son. H.
Những cuốn sách xấu có thể làm ta hư hỏng cũng như những người bạn xấu vậy.|G.Fieldinh
Sách là người bạn tốt nhất của tuổi già, đồng thời cũng là người chỉ dẫn tốt nhất của tuổi trẻ.|X. Xmailôx
Bao giờ sách cũng có nhiều trí tuệ hơn những người mà ta gặp.|D. Anbani
“Hiệu thuốc dành cho tâm hồn”.|Tấm biển treo ở cửa một thư viện cổ Ai Cập
Không gì ngạc nhiên nếu bảo rằng cũng giống như âm nhạc, trong việc đọc sách một điều khiến ta hài lòng là được chia sẻ với người khác về những gì ta đã tiếp nhận được.|Macket
Biết bao ngày lao động, biết bao đêm không ngủ, biết bao nhiêu nỗ lực trí tuệ, biết bao niềm hy vọng và nỗi lo sợ, biết bao cuộc đời đằng đẵng chuyên tâm nghiên cứu đã được đúc lại ở đây thành những bộ chữ in nhỏ bé và được xếp chặt khít trong khoảng không gian chật hẹp của các giá sách quanh chúng ta.|A. Xmith
Bạn hãy luôn bổ sung cho tủ sách của bạn nhưng không phải để cho có nhiều sách mà để soi sáng trí tuệ của bạn, để giáo dục trái tim bạn, nâng cao tâm hồn bạn bằng những sáng tạo của những thiên tài vĩ đại.|Biêlinxki
Sách là ngọn cờ vẫy gọi nhân loại hướng tới tương lai, chứ không phải khuôn mẫu cứng nhắc buộc các thế hệ đi sau làm đúng như những người đi qua đã làm. Sách chỉ nên là điểm tựa, là vạch xuất phát chứ không chỉ là cái đích cần đạt tới.|Son. H
Nếu đọc nhiều mà không suy nghĩ thì anh sẽ tưởng rằng mình biết nhiều, còn nếu suy nghĩ nhiều trong lúc đọc thì hẳn anh sẽ thấy mình biết ít.|Vonte
Cần tìm hiểu về nền văn học nước mình và nhất là sách văn học... đó là điều không thể thiếu được. Sách văn học là bức tranh toàn cảnh vô cùng phong phú mô tả các kiểu người ở trong những hoàn cảnh muôn hình, muôn vẻ. Vì vậy, để nâng cao văn hóa, trước hết cần phải biết văn học nghệ thuật. Theo kinh nghiệm bản thân tôi, nó làm cho tâm hồn con người thêm phong phú, tạo khả năng cho con người lớn lên, hiểu được con người nhiều hơn.|M.I.Calinin
Người có học thức không phải là người đọc nhiều mà là người đọc có hệ thống, không phải là người nắm ý từng đoạn, từng quãng mà là người nắm được một hệ thống trí thức quan hệ chặt chẽ với nhau.|M.I.Calinin
Đọc sách không cần nhiều, đọc một chữ đem áp dụng làm việc được một chữ, thế là được.|Lê Quý Đôn
Đọc sách nên đọc bản văn cho kỹ, nhấm từng chữ một mới thấy thú vị, thấy chỗ nào không hiểu thấu được thì nghĩ cho kỹ, nghĩ không ra mới xem chú giải, như thế mới có ý vị.|Lê Quý Đôn
Sách – đó là di huấn về tinh thần của thế hệnày đối với thế hệkhác, đó là lời khuyên của những người già sắp từ giã cõi đời, đối với người trẻmới bước vàocuộc sống, đó là mệnh lệnh của người đứng gác sắp đến giờnghỉtruyền lại chongười đến thay gác. Toàn bộcuộc sống của loài người đều được phản ánh trong sách: những bộ lạc, những con người, những quốc gia đã mất đi nhưng sách vẫn tồn tại. Sách lớn lên cùng với loài người, sách kết tinh tất cả những học thuyết làm rung động khối óc, kết tinh mọi khát vọng làm rung động trái tim, sách ghi lại cuộc sống sôi nổi của loài người, được mệnh danh là lịch sử toàn thếgiới. Nhưng trong sách không phải chỉ có quá khứ; sách còn là phương tiện giúp ta làm chủ hiện tại,nắm lấy tất cả mọi chân lý và sức mạnh được tìm ra qua nhiều đau khổ, đôi khi còn nhuốm đầy mồ hôi hòa với máu. Sách còn là cương lĩnh của tương lai. Bởi vậy,chúng ta hãy trân trọng sách.|A.I.Ghécxen
Sách giải trí cũng có lợi cho sức khỏe như tập thể dục.|Cant
Một cuốn sách tốt mở ra thì gợi niềm hy vọng, khép lại thì đem đến điều hữu ích.|M.Ancôt
Bạn thân để tình, sách quý để nghĩa.|Mason Uerơlen
Sách làm cho trí tuệ con người sâu sắc và sáng sủa hơn.|G. Letxinh
Khi tôi cầm một cuốn sách mới, một vật được bàn tay người thợ sắp chữ - một loại anh hùng theo kiểu riêng – chế tạo ra trong nhà in, nhờ các loại máy do một người anh hùng khác nào đó sáng chế ra, tôi cảm thấy có một cái gì sinh động, biết nói năng và tuyệt diệu, bước vào cuộc đời tôi...|M.Gorki
Một cuốn sách là gì? Đấy là những ký hiệu nhỏ liên tục, không gì hơn nữa. Chính độc giả tự mình rút ra những hình thức, những màu sắc, những tình cảm, ý nghĩa tương quan với ký hiệu ấy.|Anaton Phơrăngxơ
Cuốn sách tốt nhất là tác phẩm cực kỳ quý do trí tuệ cao cả của con người tạo nên.Nó dường như được ướp lại, được giữ gìn một cách thiêng liêng như kho báu lớn đối với cuộc sống.|D.Mintơn
Sách – bánh mì của tinh thần.|Puskin
Tác giả tạo nên sách, xã hội tiếp nhận hoặc hắt hủi nó. Người tạo ra sách là tác giả. Người tạo ra số phận của sách là xã hội.|Víchto Huygô
Đọc sách mà không chịu tinh tường suy nghĩ là vùi dập đi cái công phu của người xưa.|Mạnh Tử
Vui nhất không gì bằng xem sách, cần nhất không gì bằng dạy con.|Sử Điển
Bất cứ sự hiểu biết gì cũng đều do quan sát và kinh nghiệm mà biết. Nhà phê bình là người biết đọc sách và chỉ dẫn cho kẻ khác cách đọc sách.|Saint Beuve
Đọc sách nhiều mà đụng đâu đọc đó là hủy hoại tinh thần. Đọc ít nhưng đọc kỹ ta sẽ tìm ra được chân lý cho cuộc đời.|Munsch Roger
Đọc sách mau quá hoặc chậm quá sẽ không hiểu được gì cả.|Blaise Pascal
Thái độ cư xử với sách chuẩn bịcho thái độ cư xử với mọi người. Cả cái này lẫn cái kia đều cần thiết như nhau.|N.M.Caramsdin
Lý thuyết và thực hành không bao giờ tách rời nhau cũng như sách vở và cuộc sống vậy.|N. Rubakin
Việc đọc sách của thiếu nhi là một vấn đề các nhà giáo không thể thờ ơ được. Đó là sự nghiệp xương máu của mình.|Krupxkata
Bạn hãy đề phòng người chỉ đọc một cuốn sách.|Ngạn ngữ La Tinh
Đừng nói những điều đã đọc mà hãy nói những điều đã hiểu.|Tục ngữ Adecbaidan
Sách đóng vai trò to lớn trong việc chọn nghề của thanh niên. Tôi đã biết những trường hợp nhiều nam nữ thanh niên chọn ngành các trường đại học đều dựa trên những cuốn sách họ đã đọc mà trong đó có hình tượng các viễn cảnh hấp dẫn của một ngành chuyên môn nào đó đã được vẽ nên một cách rực rỡ, rõ ràng.|K.I. Xcơriabin
Căn nhà không có sách giống như cơ thể không có linh hồn.|Xixêrông
Sách bước vào đời tôi như một điều kỳ diệu vĩ đại, chúng mở rộng cánh cửa để đi vào thế giới tri thức mênh mông chưa hề biết... Đối với tôi mỗi ngày là một bậc thang đưa tôi đến thế giới lạ thường ấy, cái thế giới cho phép tôi thấy được sự hùng mạnh của con người...|Ê. Xtaxôva
Những quyển sách làm ta mê say... chúng nói chuyện với ta, cho ta những lời khuyên và liên kết với ta bởi một tinh thần sống động và nhịp nhàng.|P. Bêtơrarque
Tình yêu và đường dài đẻra trang sách.|Pablo Nêruda
Sách thu nhận những hạt ngọc của tư tưởng nhân loại và truyền lại cho thế hệ mai sau. Chúng ta chỉ còn lại một nắm xương tàn nhưng sách giống như những bức tường bằng bê tông cốt sắt sẽ còn được giữ gìn mãi mãi.|Aibek
Sự khác nhau giữa chất độc vật chất và chất độc tinh thần là ở chỗ phần lớn chất độc vật chất gây khó chịu cho vị giác, còn chất độc tinh thần, dưới dạng những cuốn sách xấu, thì tiếc thay thường lại rất hấp dẫn.|L.Tônxtôi
Tình yêu đối với sách là một tình yêu đã được thời gian kiểm nghiệm, một tình yêucổ xưa của loài người.|N.Xmiêcnốp – Xôcônxki
Sách thường hào phóng đền đáp lại nếu bạn yêu mến nó. Sách dạy bạn ngay cả khi bạn không có ý định học gì ở nó và ngay cả khi bạn không muốn học gì ở nó nữa. Quyền lực của sách thật là lớn lao.|N. Xmiêcnốp – Xôcônxki
Tất cả những gì khó trong học tập đều trở nên dễ dàng nếu ta biết kết hợp với một cuốn sách tốt.|Khixmôn
Thiên nhiên là cuốn sách duy nhất mà mỗi trang nó chứa đựng đầy nội dung sâu sắc.|W.Gớt
Sách làm cho con người trở nên tốt hơn, đó là một trong những điều kiện chủ yếu và thậm chí là mục đích chủ yếu hầu như duy nhất của nghệ thuật.|I.Gônsarốp
Sách giúp cho ta làm việc tốt hơn, hiểu được cuộc sống xung quanh nhiều hơn, gây cho ta ý thức tổ chức tốt hơn, biết sắp xếp cuộc sống của mình tốt hơn. Sách cung cấp cho ta mọi sự hiểu biết, mà hiểu biết là một sức mạnh lớn lao.|N.K. Krúpxkaia
Sách là cây đèn thần soi sáng cho con người trên những nẻo đường xa xôi nhất và tối tăm nhất của cuộc đời.|A.Upit
Sách là di sản của các thế kỷ trong đó thể hiện ký ức của nhân loại.|Selgupôp
Nếu trí lực như một cái cây thì sách giống như những con ong truyền phấn hoa sinh sản từ một trí tuệ này sang trí tuệ khác.|G.Lôoen
Thiên đường ở trần gian là một cuốn sách tốt và lương tâm trong sạch.|P.Buasto
Phải dùng sách để tiến tới sáng tạo cuộc sống. Tích lũy tri thức cũng còn chưa đủ, cần phải phổ biến những tri thức ấy cho thật rộng rãi và áp dụng trong cuộc sống.|Rubakin
Thế giới vô cùng vĩ đại. Cặp mắt của bạn chỉ thấy được một phần nhỏ bé không đáng kể. Bởi vậy bạn hãy tìm lấy các sự kiện ở trong sách. Hãy tích lũy hàng ngày các sự kiện ấy.|Ôbrutrép
Cuốn sách tốt nhất là cuốn sách gieo được nhiều dấu chấm hỏi.|Jăng Coctô
Tri thức làm ta khiêm tốn, ngu si làm ta kiêu ngạo.|Ngạn ngữ Anh
Trong đạo xử thế biết trách mình là người khôn, chỉ trách người là người vụng.|Kinh Dịch
Nhiều người nhận được lời khuyên, song chỉ có những người khôn ngoan mới sử dụng được những lời khuyên đó.|Sirút
Sách vởlà con tàu tư duy vượt qua sóng nước thời gian và trân trọng chở những hàng hóa quý giá từ thế hệ này sang thế hệ khác.|P.Bêcơn
Hãy luôn có trên tủ sách một cuốn sách mới, trong nhà một chai rượu vang đầy và trong vườn một bông hoa tươi.|Ê. Epiquaya
Một cuốn sách là một nghĩa trang lớn mà trên phần lớn những tấm bia mộ, người ta không thể quên được những tên tuổi đã bị xoá mờ.|D. Mintơn
Hãy yêu quý sách, sách làm cho cuộc sống của ta thêm thoải mái. Sách thân ái giúp ta hiểu thấu những tư tưởng, tình cảm, biến cố phức tạp. Sách dạy chúng ta biết tôn trọng con người và biết tự trọng. Tôi hết sức ngạc nhiên khi cảm thấy rằng mỗi quyển sách hình như mở ra cho tôi một thế giới mới chưa ai biết đến, kể cho tôi nghe về những con người, những tình cảm, ý nghĩ và quan hệ mà tôi chưa từng biết đến và chưa từng thấy.|M.Gorki
Hãy yêu mến sách vì sách là nguồn tri thức. Chỉ có tri thức mới là cứu cánh, chỉ có sách mới có thể làm các bạn trở thành những người có tinh thần mạnh mẽ, chính trực khôn ngoan, biết yêu tha thiết con người, tôn trọng lao động của con người và chân thành chiêm ngưỡng những thành quả tuyệt vời của sức lao động vĩ đại và không mệt mỏi của con người.| M.Gorki
Sách là người bạn tốt nhất. Gặp khó khăn gì trong cuộc sống ta cũng có thể nhờ cậy sách. Sách không bao giờ phản bội.|Anphông Đôđê
